school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Tampines North,2021,0,62,78,155,0,62,0
Tanjong Katong,2021,12,94,44,78,12,78,1
Tao Nan,2021,57,48,20,23,20,23,1
Teck Ghee,2021,9,93,59,110,9,93,0
Teck Whye,2021,0,12,88,175,0,12,0
Telok Kurau,2021,1,63,48,95,1,63,0
Temasek,2021,11,95,21,30,11,30,1
Townsville,2021,0,36,67,135,0,36,0
Unity,2021,0,61,77,155,0,61,0
Valour,2021,0,159,72,144,0,144,1
Waterway,2021,1,105,25,48,1,48,1
Wellington,2021,3,119,50,97,3,97,1
West Grove,2021,5,98,78,151,5,98,0
West Spring,2021,8,103,25,41,8,41,1
West View,2021,0,37,68,136,0,37,0
Westwood,2021,9,99,24,40,9,40,1
White Sands,2021,9,104,43,78,9,78,1
Woodgrove,2021,5,92,47,89,5,89,1
Woodlands,2021,5,115,41,77,5,77,1
Woodlands Ring,2021,0,62,73,147,0,62,0
Xinghua,2021,0,34,93,187,0,34,0
Xingnan,2021,1,99,103,204,1,99,0
Xinmin,2021,20,103,38,58,20,58,1
Xishan,2021,0,72,56,112,0,72,0
Yangzheng,2021,15,93,41,68,15,68,1
Yew Tee,2021,3,65,79,155,3,65,0
Yio Chu Kang,2021,0,40,77,154,0,40,0
Yishun,2021,1,64,48,94,1,64,0
Yu Neng,2021,10,56,21,33,10,33,1
Yuhua,2021,0,37,88,175,0,37,0
Yumin,2021,0,28,51,104,0,28,0
Zhangde,2021,0,85,57,113,0,85,0
Zhenghua,2021,1,92,63,124,1,92,0
Zhonghua,2021,0,17,72,144,0,17,0
Admiralty,2022,49,104,22,45,22,45,1
Ahmad Ibrahim,2022,0,31,43,129,0,31,0
Ai Tong,2022,48,86,20,42,20,42,1
Alexandra,2022,4,146,39,113,4,113,1
Anchor Green,2022,0,24,40,120,0,24,0
Anderson,2022,21,88,28,64,21,64,1
Ang Mo Kio,2022,0,49,50,149,0,49,0
Anglo-Chinese (Junior),2022,57,69,27,53,27,53,1
Anglo-Chinese (Primary),2022,55,69,28,55,28,55,1
Angsana,2022,0,171,67,202,0,171,0
Beacon,2022,0,33,45,135,0,33,0
Bedok Green,2022,0,32,51,152,0,32,0
Bendemeer,2022,0,59,44,133,0,59,0
Blangah Rise,2022,0,24,32,96,0,24,0
Boon Lay Garden,2022,0,38,75,225,0,38,0
Bukit Panjang,2022,21,80,29,65,21,65,1
Bukit Timah,2022,1,81,42,124,1,81,0
Bukit View,2022,0,31,77,230,0,31,0
CHIJ (Katong),2022,16,53,43,112,16,53,0
CHIJ (Kellock),2022,16,77,46,123,16,77,0
CHIJ (Toa Payoh),2022,40,68,27,54,27,54,1
CHIJ Our Lady Queen of Peace,2022,12,82,46,126,12,82,0
CHIJ Our Lady of Good Counsel,2022,20,61,32,80,20,61,0
CHIJ Our Lady of the Nativity,2022,53,118,54,110,53,110,1
CHIJ St. Nicholas Girls’,2022,46,63,20,40,20,40,1
Canberra,2022,19,146,43,112,19,112,1
Canossa Catholic,2022,16,60,27,64,16,60,0
Cantonment,2022,0,43,45,136,0,43,0
Casuarina,2022,0,55,28,84,0,55,0
Catholic High,2022,43,68,20,40,20,40,1
Cedar,2022,0,42,62,187,0,42,0
Changkat,2022,0,49,48,146,0,49,0
Chongfu,2022,51,157,25,49,25,49,1
Chongzheng,2022,7,87,20,54,7,54,1
Chua Chu Kang,2022,25,124,32,70,25,70,1
Clementi,2022,0,71,60,183,0,71,0
Compassvale,2022,17,140,44,115,17,115,1
Concord,2022,3,105,39,114,3,105,0
Corporation,2022,1,54,51,151,1,54,0
Damai,2022,0,36,59,176,0,36,0
Dazhong,2022,0,66,24,73,0,66,0
De La Salle,2022,12,104,48,133,12,104,0
East Spring,2022,0,58,38,113,0,58,0
Edgefield,2022,0,85,46,139,0,85,0
Elias Park,2022,2,132,30,89,2,89,1
Endeavour,2022,3,58,52,153,3,58,0
Evergreen,2022,0,59,42,125,0,59,0
Fairfield Methodist,2022,33,89,20,41,20,41,1
Farrer Park,2022,1,49,42,125,1,49,0
Fengshan,2022,1,95,25,73,1,73,1
Fern Green,2022,2,90,25,73,2,73,1
Fernvale,2022,1,78,38,113,1,78,0
First Toa Payoh,2022,0,4,42,127,0,4,0
Frontier,2022,14,85,20,46,14,46,1
Fuchun,2022,1,52,49,147,1,52,0
Fuhua,2022,0,62,27,83,0,62,0
Gan Eng Seng,2022,0,28,37,112,0,28,0
Geylang Methodist,2022,4,131,44,129,4,129,1
Gongshang,2022,15,107,20,45,15,45,1
Greendale,2022,0,31,44,133,0,31,0
Greenridge,2022,0,35,39,117,0,35,0
Greenwood,2022,1,107,46,138,1,107,0
Haig Girls’,2022,1,117,43,127,1,117,0
Henry Park,2022,29,82,21,41,21,41,1
Holy Innocents’,2022,50,101,21,42,21,42,1
Hong Wen,2022,27,135,36,83,27,83,1
Horizon,2022,19,77,20,42,19,42,1
Hougang,2022,18,114,32,79,18,79,1
Huamin,2022,2,114,32,96,2,96,1
Innova,2022,14,86,33,84,14,84,1
Jiemin,2022,1,62,28,83,1,62,0
Jing Shan,2022,1,67,24,72,1,67,0
Junyuan,2022,0,77,37,112,0,77,0
Jurong,2022,0,55,26,82,0,55,0
Jurong West,2022,4,93,27,78,4,78,1
Keming,2022,19,121,24,53,19,53,1
Kheng Cheng,2022,4,111,48,141,4,111,0
Kong Hwa,2022,65,129,32,64,32,64,1
Kranji,2022,0,16,33,99,0,16,0
Kuo Chuan Presbyterian,2022,54,86,31,67,31,67,1
Lakeside,2022,0,124,38,113,0,113,1
Lianhua,2022,1,32,79,235,1,32,0
Maha Bodhi,2022,33,114,37,79,33,79,1
Maris Stella High,2022,45,93,27,56,27,56,1
Marsiling,2022,0,82,46,137,0,82,0
Marymount Convent,2022,13,68,67,188,13,68,0
Mayflower,2022,0,38,38,115,0,38,0
Mee Toh,2022,50,150,50,101,50,101,1
Meridian,2022,0,22,35,108,0,22,0
Methodist Girls’,2022,79,70,20,40,20,40,1
Montfort Junior,2022,15,29,38,101,15,29,0
Nan Chiau,2022,79,274,41,81,41,81,1
Nan Hua,2022,38,191,20,40,20,40,1
Nanyang,2022,37,89,20,41,20,41,1
Naval Base,2022,1,116,35,105,1,105,1
New Town,2022,0,20,58,173,0,20,0
Ngee Ann,2022,4,128,42,123,4,123,1
North Spring,2022,0,37,46,139,0,37,0
North View,2022,0,119,48,144,0,119,0
North Vista,2022,0,43,39,117,0,43,0
Northland,2022,22,199,20,42,20,42,1
Northoaks,2022,0,14,62,186,0,14,0
Northshore,2022,1,75,59,175,1,75,0
Oasis,2022,0,80,20,60,0,60,1
Opera Estate,2022,1,70,36,107,1,70,0
Palm View,2022,1,56,46,138,1,56,0
Park View,2022,1,58,36,108,1,58,0
Pasir Ris,2022,22,80,21,43,21,43,1
Paya Lebar Methodist Girls’,2022,47,110,41,81,41,81,1
Pei Chun Public,2022,27,83,20,45,20,45,1
Pei Hwa Presbyterian,2022,37,87,20,41,20,41,1
Pei Tong,2022,0,34,58,175,0,34,0
Peiying,2022,0,45,36,107,0,45,0
Poi Ching,2022,27,197,43,104,27,104,1
Princess Elizabeth,2022,5,278,20,55,5,55,1
Punggol,2022,6,129,28,78,6,78,1
Punggol Cove,2022,1,82,31,93,1,82,0
Punggol Green,2022,4,127,20,56,4,56,1
Punggol View,2022,0,74,20,61,0,61,1
Qifa,2022,22,131,44,111,22,111,1
Qihua,2022,5,56,54,158,5,56,0
Queenstown,2022,0,115,40,121,0,115,0
Radin Mas,2022,20,82,20,40,20,40,1
Raffles Girls’,2022,39,125,43,90,39,90,1
Red Swastika,2022,26,81,20,42,20,42,1
River Valley,2022,20,91,26,59,20,59,1
Riverside,2022,2,83,20,58,2,58,1
Rivervale,2022,12,126,31,81,12,81,1
Rosyth,2022,24,125,20,41,20,41,1
Rulang,2022,34,95,20,40,20,40,1
Sembawang,2022,1,122,35,104,1,104,1
Seng Kang,2022,0,19,49,148,0,19,0
Sengkang Green,2022,21,120,23,49,21,49,1
Shuqun,2022,11,106,30,79,11,79,1
Si Ling,2022,0,17,32,97,0,17,0
Singapore Chinese Girls’,2022,34,73,20,40,20,40,1
South View,2022,30,177,20,40,20,40,1
Springdale,2022,0,81,29,87,0,81,0
St. Andrew’s Junior,2022,31,124,37,82,31,82,1
St. Anthony’s,2022,39,105,32,65,32,65,1
St. Anthony’s Canossian,2022,6,41,67,194,6,41,0
St. Gabriel’s,2022,24,77,34,77,24,77,0
St. Hilda’s,2022,40,144,20,41,20,41,1
St. Joseph’s Institution Junior,2022,84,106,38,78,38,78,1
St. Margaret’s,2022,19,122,40,101,19,101,1
St. Stephen’s,2022,23,66,62,163,23,66,0
Tampines,2022,2,81,28,86,2,81,0
Tampines North,2022,0,46,49,146,0,46,0
Tanjong Katong,2022,14,98,30,75,14,75,1
Tao Nan,2022,61,99,23,47,23,47,1
Teck Ghee,2022,6,92,41,118,6,92,0
Teck Whye,2022,0,27,57,172,0,27,0
Telok Kurau,2022,2,72,28,83,2,72,0
Temasek,2022,10,154,20,51,10,51,1
Townsville,2022,3,21,43,126,3,21,0
Unity,2022,0,52,41,124,0,52,0
Valour,2022,2,120,33,96,2,96,1
Waterway,2022,1,107,28,83,1,83,1
Wellington,2022,4,105,20,58,4,58,1
West Grove,2022,8,99,52,147,8,99,0
West Spring,2022,0,106,20,62,0,62,1
West View,2022,0,35,28,84,0,35,0
Westwood,2022,11,80,20,49,11,49,1
White Sands,2022,14,112,35,92,14,92,1
Woodgrove,2022,5,104,25,71,5,71,1
Woodlands,2022,13,112,31,80,13,80,1
Woodlands Ring,2022,0,66,47,141,0,66,0
Xinghua,2022,0,35,77,232,0,35,0
Xingnan,2022,1,64,63,187,1,64,0
Xinmin,2022,32,78,24,50,24,50,1
Xishan,2022,1,59,37,110,1,59,0
Yangzheng,2022,9,101,22,58,9,58,1
Yew Tee,2022,1,60,46,138,1,60,0
Yio Chu Kang,2022,0,36,47,141,0,36,0
Yishun,2022,0,42,33,100,0,42,0
Yu Neng,2022,10,83,20,52,10,52,1
Yuhua,2022,0,29,50,150,0,29,0
Yumin,2022,0,20,36,109,0,20,0
Zhangde,2022,1,92,31,93,1,92,0
Zhenghua,2022,0,68,30,90,0,68,0
Zhonghua,2022,1,7,39,115,1,7,0
Admiralty,2023,37,109,34,70,34,70,1
Ahmad Ibrahim,2023,0,27,52,157,0,27,0
Ai Tong,2023,56,78,22,45,22,45,1
Alexandra,2023,4,141,43,127,4,127,1
Anchor Green,2023,0,36,42,128,0,36,0
Anderson,2023,19,92,31,74,19,74,1
Ang Mo Kio,2023,0,29,28,85,0,29,0
Anglo-Chinese (Junior),2023,52,79,31,62,31,62,1
Anglo-Chinese (Primary),2023,51,68,26,53,26,53,1
Angsana,2023,2,167,32,95,2,95,1
Beacon,2023,0,31,28,84,0,31,0
Bedok Green,2023,0,27,48,143,0,27,0
Bendemeer,2023,1,30,47,143,1,30,0
Blangah Rise,2023,0,18,26,77,0,18,0
Boon Lay Garden,2023,0,27,40,121,0,27,0
Bukit Panjang,2023,24,89,21,42,21,42,1
Bukit Timah,2023,1,71,36,111,1,71,0
Bukit View,2023,0,27,80,242,0,27,0
CHIJ (Katong),2023,21,63,42,105,21,63,0
CHIJ (Kellock),2023,14,49,47,128,14,49,0
CHIJ (Toa Payoh),2023,53,69,27,55,27,55,1
CHIJ Our Lady Queen of Peace,2023,14,59,40,105,14,59,0
CHIJ Our Lady of Good Counsel,2023,11,40,37,101,11,40,0
CHIJ Our Lady of the Nativity,2023,45,113,52,111,45,111,1
CHIJ St. Nicholas Girls’,2023,46,84,20,40,20,40,1
Canberra,2023,22,131,48,122,22,122,1
Canossa Catholic,2023,19,56,23,50,19,50,1
Cantonment,2023,2,40,34,100,2,40,0
Casuarina,2023,0,44,22,66,0,44,0
Catholic High,2023,29,52,20,40,20,40,1
Cedar,2023,1,38,51,151,1,38,0
Changkat,2023,1,56,40,119,1,56,0
Chongfu,2023,53,112,35,72,35,72,1
Chongzheng,2023,7,84,26,72,7,72,1
Chua Chu Kang,2023,14,111,25,62,14,62,1
Clementi,2023,0,51,71,214,0,51,0
Compassvale,2023,18,133,40,101,18,101,1
Concord,2023,1,76,36,108,1,76,0
Corporation,2023,2,31,39,118,2,31,0
Damai,2023,1,22,29,87,1,22,0
Dazhong,2023,0,83,28,85,0,83,0
De La Salle,2023,5,96,44,128,5,96,0
East Spring,2023,0,64,43,130,0,64,0
Edgefield,2023,0,46,54,162,0,46,0
Elias Park,2023,0,101,20,61,0,61,1
Endeavour,2023,1,53,59,175,1,53,0
Evergreen,2023,0,66,31,94,0,66,0
Fairfield Methodist,2023,52,66,20,40,20,40,1
Farrer Park,2023,1,37,55,164,1,37,0
Fengshan,2023,2,75,31,96,2,75,0
Fern Green,2023,1,73,20,61,1,61,1
Fernvale,2023,0,80,43,129,0,80,0
First Toa Payoh,2023,0,9,39,119,0,9,0
Frontier,2023,13,63,20,48,13,48,1
Fuchun,2023,1,45,32,95,1,45,0
Fuhua,2023,2,54,43,128,2,54,0
Gan Eng Seng,2023,0,27,38,115,0,27,0
Geylang Methodist,2023,4,134,45,132,4,132,1
Gongshang,2023,16,107,20,44,16,44,1
Greendale,2023,0,23,63,190,0,23,0
Greenridge,2023,1,19,35,103,1,19,0
Greenwood,2023,3,89,42,123,3,89,0
Haig Girls’,2023,18,108,38,97,18,97,1
Henry Park,2023,23,64,20,44,20,44,1
Holy Innocents’,2023,53,115,20,40,20,40,1
Hong Wen,2023,30,151,32,69,30,69,1
Horizon,2023,16,81,20,44,16,44,1
Hougang,2023,17,98,31,76,17,76,1
Huamin,2023,1,95,20,61,1,61,1
Innova,2023,11,58,36,96,11,58,0
Jiemin,2023,0,57,44,134,0,57,0
Jing Shan,2023,1,62,20,61,1,61,1
Junyuan,2023,0,58,27,81,0,58,0
Jurong,2023,0,73,41,125,0,73,0
Jurong West,2023,1,63,20,60,1,60,1
Keming,2023,8,138,30,82,8,82,1
Kheng Cheng,2023,1,110,41,121,1,110,0
Kong Hwa,2023,57,84,29,57,29,57,1
Kranji,2023,0,21,20,60,0,21,0
Kuo Chuan Presbyterian,2023,36,76,32,67,32,67,1
Lakeside,2023,0,112,39,119,0,112,0
Lianhua,2023,0,36,84,252,0,36,0
Maha Bodhi,2023,42,82,30,63,30,63,1
Maris Stella High,2023,30,77,26,55,26,55,1
Marsiling,2023,0,74,48,143,0,74,0
Marymount Convent,2023,7,56,65,188,7,56,0
Mayflower,2023,0,30,40,121,0,30,0
Mee Toh,2023,49,145,55,116,49,116,1
Meridian,2023,0,22,52,157,0,22,0
Methodist Girls’,2023,38,63,21,43,21,43,1
Montfort Junior,2023,8,25,40,113,8,25,0
Nan Chiau,2023,123,264,45,89,45,89,1
Nan Hua,2023,34,192,20,40,20,40,1
Nanyang,2023,43,76,20,44,20,44,1
Naval Base,2023,2,89,20,58,2,58,1
New Town,2023,0,19,55,164,0,19,0
Ngee Ann,2023,2,122,40,122,2,122,0
North Spring,2023,0,38,58,173,0,38,0
North View,2023,0,95,26,80,0,80,1
North Vista,2023,1,55,49,148,1,55,0
Northland,2023,22,200,21,44,21,44,1
Northoaks,2023,0,20,45,137,0,20,0
Northshore,2023,1,110,53,159,1,110,0
Oasis,2023,2,63,21,61,2,61,1
Opera Estate,2023,1,74,34,101,1,74,0
Palm View,2023,0,76,43,130,0,76,0
Park View,2023,2,66,34,101,2,66,0
Pasir Ris,2023,23,76,23,47,23,47,1
Paya Lebar Methodist Girls’,2023,35,120,46,103,35,103,1
Pei Chun Public,2023,29,81,24,52,24,52,1
Pei Hwa Presbyterian,2023,32,75,20,40,20,40,1
Pei Tong,2023,0,29,65,196,0,29,0
Peiying,2023,0,49,40,121,0,49,0
Poi Ching,2023,45,197,41,82,41,82,1
Princess Elizabeth,2023,12,283,20,48,12,48,1
Punggol,2023,0,106,28,86,0,86,1
Punggol Cove,2023,1,82,38,113,1,82,0
Punggol Green,2023,4,110,21,58,4,58,1
Punggol View,2023,1,51,30,92,1,51,0
Qifa,2023,17,130,46,124,17,124,1
Qihua,2023,0,42,32,95,0,42,0
Queenstown,2023,1,123,36,106,1,106,1
Radin Mas,2023,22,81,25,54,22,54,1
Raffles Girls’,2023,33,130,48,113,33,113,1
Red Swastika,2023,22,89,20,42,20,42,1
River Valley,2023,16,73,25,60,16,60,1
Riverside,2023,1,90,20,59,1,59,1
Rivervale,2023,14,133,28,70,14,70,1
Rosyth,2023,23,142,20,41,20,41,1
Rulang,2023,26,112,20,41,20,41,1
Sembawang,2023,1,67,25,75,1,67,0
Seng Kang,2023,0,22,54,163,0,22,0
Sengkang Green,2023,15,87,20,45,15,45,1
Shuqun,2023,15,97,25,60,15,60,1
Si Ling,2023,0,22,33,100,0,22,0
Singapore Chinese Girls’,2023,20,58,21,43,20,43,1
South View,2023,34,128,20,40,20,40,1
Springdale,2023,0,68,40,121,0,68,0
St. Andrew’s Junior,2023,36,113,45,103,36,103,1
St. Anthony’s,2023,24,114,42,102,24,102,1
St. Anthony’s Canossian,2023,8,36,58,165,8,36,0
St. Gabriel’s,2023,34,52,37,77,34,52,0
St. Hilda’s,2023,36,136,20,40,20,40,1
St. Joseph’s Institution Junior,2023,85,98,44,88,44,88,1
St. Margaret’s,2023,17,78,46,122,17,78,0
St. Stephen’s,2023,28,58,62,160,28,58,0
Tampines,2023,0,92,34,102,0,92,0
Tampines North,2023,0,47,46,138,0,47,0
Tanjong Katong,2023,13,108,32,87,13,87,1
Tao Nan,2023,68,95,20,41,20,41,1
Teck Ghee,2023,5,64,29,84,5,64,0
Teck Whye,2023,2,19,48,143,2,19,0
Telok Kurau,2023,0,56,46,138,0,56,0
Temasek,2023,12,116,20,48,12,48,1
Townsville,2023,1,27,35,104,1,27,0
Unity,2023,0,44,29,88,0,44,0
Valour,2023,1,102,28,84,1,84,1
Waterway,2023,1,77,40,120,1,77,0
Wellington,2023,6,108,20,55,6,55,1
West Grove,2023,1,45,42,126,1,45,0
West Spring,2023,2,85,26,79,2,79,1
West View,2023,1,41,27,82,1,41,0
Westwood,2023,10,82,23,59,10,59,1
White Sands,2023,3,86,26,78,3,78,1
Woodgrove,2023,8,99,37,103,8,99,0
Woodlands,2023,8,87,36,102,8,87,0
Woodlands Ring,2023,0,53,35,105,0,53,0
Xinghua,2023,0,34,67,203,0,34,0
Xingnan,2023,0,43,48,143,0,43,0
Xinmin,2023,26,100,29,62,26,62,1
Xishan,2023,2,43,39,116,2,43,0
Yangzheng,2023,14,77,20,48,14,48,1
Yew Tee,2023,3,45,40,118,3,45,0
Yio Chu Kang,2023,0,24,41,123,0,24,0
Yishun,2023,1,54,47,141,1,54,0
Yu Neng,2023,12,82,22,56,12,56,1
Yuhua,2023,1,23,53,160,1,23,0
Yumin,2023,0,14,54,161,0,14,0
Zhangde,2023,0,88,32,95,0,88,0
Zhenghua,2023,2,44,26,76,2,44,0
Zhonghua,2023,0,11,32,95,0,11,0
Admiralty,2024,25,134,31,69,25,69,1
Ahmad Ibrahim,2024,0,29,55,167,0,29,0
Ai Tong,2024,53,94,20,41,20,41,1
Alexandra,2024,3,82,20,58,3,58,1
Anchor Green,2024,0,28,50,151,0,28,0
Anderson,2024,18,64,25,60,18,60,1
Ang Mo Kio,2024,0,34,26,77,0,34,0
Anglo-Chinese (Junior),2024,50,76,31,63,31,63,1
Anglo-Chinese (Primary),2024,34,74,29,59,29,59,1
Angsana,2024,1,155,20,60,1,60,1
Beacon,2024,0,39,35,104,0,39,0
Bedok Green,2024,0,34,38,113,0,34,0
Bendemeer,2024,0,26,40,121,0,26,0
Blangah Rise,2024,0,17,33,99,0,17,0
Boon Lay Garden,2024,0,34,43,128,0,34,0
Bukit Panjang,2024,19,102,20,43,19,43,1
Bukit Timah,2024,1,73,43,129,1,73,0
Bukit View,2024,0,57,76,229,0,57,0
CHIJ (Katong),2024,17,47,44,114,17,47,0
CHIJ (Kellock),2024,9,52,49,140,9,52,0
CHIJ (Toa Payoh),2024,42,83,20,41,20,41,1
CHIJ Our Lady Queen of Peace,2024,13,59,43,117,13,59,0
CHIJ Our Lady of Good Counsel,2024,11,35,36,99,11,35,0
CHIJ Our Lady of the Nativity,2024,43,110,49,104,43,104,1
CHIJ St. Nicholas Girls’,2024,35,60,20,40,20,40,1
Canberra,2024,19,130,43,112,19,112,1
Canossa Catholic,2024,11,32,26,67,11,32,0
Cantonment,2024,0,23,36,109,0,23,0
Casuarina,2024,1,49,34,100,1,49,0
Catholic High,2024,38,54,20,46,20,46,1
Cedar,2024,1,61,58,172,1,61,0
Changkat,2024,0,52,61,183,0,52,0
Chongfu,2024,53,153,21,43,21,43,1
Chongzheng,2024,5,122,33,96,5,96,1
Chua Chu Kang,2024,17,127,38,97,17,97,1
Clementi,2024,1,77,66,198,1,77,0
Compassvale,2024,16,156,43,112,16,112,1
Concord,2024,1,59,36,107,1,59,0
Corporation,2024,0,24,35,105,0,24,0
Damai,2024,0,26,33,99,0,26,0
Dazhong,2024,0,94,20,60,0,60,1
De La Salle,2024,12,110,44,119,12,110,0
East Spring,2024,1,62,54,160,1,62,0
Edgefield,2024,0,31,54,162,0,31,0
Elias Park,2024,3,88,20,60,3,60,1
Endeavour,2024,0,48,47,141,0,48,0
Evergreen,2024,1,75,32,96,1,75,0
Fairfield Methodist,2024,33,78,22,45,22,45,1
Farrer Park,2024,0,32,40,122,0,32,0
Fengshan,2024,1,76,21,62,1,62,1
Fern Green,2024,2,67,23,68,2,67,0
Fernvale,2024,1,96,54,162,1,96,0
First Toa Payoh,2024,0,17,39,116,0,17,0
Frontier,2024,17,89,20,43,17,43,1
Fuchun,2024,0,43,37,112,0,43,0
Fuhua,2024,0,50,60,182,0,50,0
Gan Eng Seng,2024,0,17,36,107,0,17,0
Geylang Methodist,2024,8,109,52,153,8,109,0
Gongshang,2024,20,99,20,41,20,41,1
Greendale,2024,0,24,43,131,0,24,0
Greenridge,2024,1,30,31,91,1,30,0
Greenwood,2024,0,60,38,115,0,60,0
Haig Girls’,2024,9,89,45,127,9,89,0
Henry Park,2024,27,63,21,41,21,41,1
Holy Innocents’,2024,57,96,20,40,20,40,1
Hong Wen,2024,26,124,32,71,26,71,1
Horizon,2024,10,86,20,51,10,51,1
Hougang,2024,11,130,32,85,11,85,1
Huamin,2024,2,97,20,60,2,60,1
Innova,2024,11,59,38,103,11,59,0
Jiemin,2024,0,56,39,116,0,56,0
Jing Shan,2024,0,71,20,60,0,60,1
Junyuan,2024,0,79,20,63,0,63,1
Jurong,2024,0,59,48,144,0,59,0
Jurong West,2024,0,50,22,67,0,50,0
Keming,2024,14,141,32,81,14,81,1
Kheng Cheng,2024,2,128,54,162,2,128,0
Kong Hwa,2024,71,110,36,74,36,74,1
Kuo Chuan Presbyterian,2024,30,76,21,44,21,44,1
Lakeside,2024,2,105,44,131,2,105,0
Lianhua,2024,0,31,80,242,0,31,0
Maha Bodhi,2024,38,96,38,76,38,76,1
Maris Stella High,2024,44,101,32,67,32,67,1
Marsiling,2024,0,90,34,103,0,90,0
Marymount Convent,2024,13,34,69,195,13,34,0
Mayflower,2024,0,21,32,95,0,21,0
Mee Toh,2024,38,152,56,130,38,130,1
Meridian,2024,0,17,60,179,0,17,0
Methodist Girls’,2024,50,64,25,50,25,50,1
Montfort Junior,2024,3,24,39,114,3,24,0
Nan Chiau,2024,112,247,44,88,44,88,1
Nan Hua,2024,39,160,20,40,20,40,1
Nanyang,2024,50,79,20,40,20,40,1
Naval Base,2024,1,68,20,59,1,59,1
New Town,2024,0,26,47,141,0,26,0
Ngee Ann,2024,3,105,42,128,3,105,0
North Spring,2024,0,51,44,133,0,51,0
North View,2024,0,109,20,61,0,61,1
North Vista,2024,0,58,44,132,0,58,0
Northland,2024,22,170,28,62,22,62,1
Northoaks,2024,0,20,60,181,0,20,0
Northshore,2024,0,166,43,128,0,128,1
Oasis,2024,1,73,23,68,1,68,1
Opera Estate,2024,1,65,28,87,1,65,0
Palm View,2024,1,77,49,146,1,77,0
Park View,2024,0,53,41,124,0,53,0
Pasir Ris,2024,21,74,20,41,20,41,1
Paya Lebar Methodist Girls’,2024,34,139,45,103,34,103,1
Pei Chun Public,2024,30,67,27,57,27,57,1
Pei Hwa Presbyterian,2024,22,66,20,41,20,41,1
Pei Tong,2024,0,27,65,200,0,27,0
Peiying,2024,0,48,33,99,0,48,0
Poi Ching,2024,35,192,38,79,35,79,1
Princess Elizabeth,2024,22,270,20,41,20,41,1
Punggol,2024,1,110,30,91,1,91,1
Punggol Cove,2024,1,47,42,126,1,47,0
Punggol Green,2024,1,108,20,59,1,59,1
Punggol View,2024,0,48,36,112,0,48,0
Qifa,2024,20,104,29,68,20,68,1
Qihua,2024,1,30,38,116,1,30,0
Queenstown,2024,1,110,44,133,1,110,0
Radin Mas,2024,24,76,25,52,24,52,1
Raffles Girls’,2024,29,183,55,135,29,135,1
Red Swastika,2024,23,63,20,43,20,43,1
River Valley,2024,18,95,34,86,18,86,1
Riverside,2024,5,77,20,56,5,56,1
Rivervale,2024,11,115,31,84,11,84,1
Rosyth,2024,29,139,20,44,20,44,1
Rulang,2024,37,115,20,41,20,41,1
Sembawang,2024,0,88,22,66,0,66,1
Seng Kang,2024,0,25,36,110,0,25,0
Sengkang Green,2024,18,94,20,42,18,42,1
Shuqun,2024,19,84,20,42,19,42,1
Si Ling,2024,0,35,38,114,0,35,0
Singapore Chinese Girls’,2024,35,61,20,40,20,40,1
South View,2024,21,127,20,43,20,43,1
Springdale,2024,1,61,22,65,1,61,0
St. Andrew’s Junior,2024,35,130,42,92,35,92,1
St. Anthony’s,2024,39,121,36,72,36,72,1
St. Anthony’s Canossian,2024,16,31,46,122,16,31,0
St. Gabriel’s,2024,22,59,34,79,22,59,0
St. Hilda’s,2024,33,129,20,41,20,41,1
St. Joseph’s Institution Junior,2024,65,101,42,86,42,86,1
St. Margaret’s,2024,14,119,41,111,14,111,1
St. Stephen’s,2024,13,53,57,160,13,53,0
Tampines,2024,0,99,28,86,0,86,1
Tampines North,2024,0,47,59,177,0,47,0
Tanjong Katong,2024,16,104,28,73,16,73,1
Tao Nan,2024,62,86,31,66,31,66,1
Teck Ghee,2024,1,73,27,80,1,73,0
Teck Whye,2024,0,22,49,147,0,22,0
Telok Kurau,2024,1,71,42,128,1,71,0
Temasek,2024,9,80,20,51,9,51,1
Townsville,2024,0,21,38,116,0,21,0
Unity,2024,0,66,49,146,0,66,0
Valour,2024,0,81,20,60,0,60,1
Waterway,2024,0,92,30,91,0,91,1
Wellington,2024,16,114,20,45,16,45,1
West Grove,2024,2,45,46,137,2,45,0
West Spring,2024,0,73,20,60,0,60,1
West View,2024,1,41,25,73,1,41,0
Westwood,2024,13,83,21,49,13,49,1
White Sands,2024,5,82,29,84,5,82,0
Woodgrove,2024,6,73,33,92,6,73,0
Woodlands,2024,9,72,32,88,9,72,0
Woodlands Ring,2024,1,55,29,87,1,55,0
Xinghua,2024,0,22,45,136,0,22,0
Xingnan,2024,1,48,30,90,1,48,0
Xinmin,2024,16,93,20,45,16,45,1
Xishan,2024,0,81,38,115,0,81,0
Yangzheng,2024,11,72,20,51,11,51,1
Yew Tee,2024,1,73,44,131,1,73,0
Yio Chu Kang,2024,0,25,42,126,0,25,0
Yishun,2024,1,30,33,98,1,30,0
Yu Neng,2024,13,66,20,49,13,49,1
Yuhua,2024,0,25,76,228,0,25,0
Yumin,2024,0,10,59,179,0,10,0
Zhangde,2024,1,95,29,85,1,85,1
Zhenghua,2024,0,60,26,77,0,60,0
Zhonghua,2024,0,19,31,95,0,19,0
Admiralty,2025,27,87,26,52,26,52,1
Ahmad Ibrahim,2025,1,31,62,185,1,31,0
Ai Tong,2025,62,81,20,43,20,43,1
