school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
West Grove,2010,115,266,74,74,74,74,1
West View,2010,0,39,93,186,0,39,0
White Sands,2010,8,98,50,91,8,91,1
Woodgrove,2010,25,102,65,104,25,102,0
Woodlands,2010,0,87,68,136,0,87,0
Woodlands Ring,2010,5,124,63,120,5,120,1
Xinghua,2010,0,51,73,145,0,51,0
Xingnan,2010,1,168,88,175,1,168,0
Xinmin,2010,8,93,39,70,8,70,1
Xishan,2010,0,47,59,118,0,47,0
Yangzheng,2010,7,106,59,110,7,106,0
Yew Tee,2010,11,157,63,114,11,114,1
Yio Chu Kang,2010,0,30,56,112,0,30,0
Yishun,2010,0,74,62,125,0,74,0
Yu Neng,2010,23,71,24,24,23,24,1
Yuhua,2010,2,73,91,180,2,73,0
Yumin,2010,1,57,52,102,1,57,0
Zhangde,2010,4,153,64,123,4,123,1
Zhenghua,2010,1,101,78,154,1,101,0
Zhonghua,2010,1,37,80,159,1,37,0
Admiralty,2011,31,143,45,61,31,61,1
Ahmad Ibrahim,2011,1,72,61,124,1,72,0
Ai Tong,2011,61,68,20,20,20,20,1
Anchor Green,2011,1,141,91,181,1,141,0
Anderson,2011,31,96,32,36,31,36,1
Ang Mo Kio,2011,1,96,65,129,1,95,0
Anglo-Chinese (Junior),2011,80,79,64,63,64,63,1
Anglo-Chinese (Primary),2011,35,30,25,24,25,24,1
Angsana,2011,0,20,68,135,0,20,0
Beacon,2011,7,145,61,116,7,116,1
Bedok Green,2011,2,103,66,131,2,103,0
Bendemeer,2011,0,58,54,109,0,58,0
Blangah Rise,2011,1,17,73,148,1,17,0
Boon Lay Garden,2011,1,71,93,186,1,70,0
Bukit Panjang,2011,51,101,41,44,40,44,1
Bukit Timah,2011,0,46,65,131,0,46,0
Bukit View,2011,0,87,67,134,0,87,0
CHIJ (Katong),2011,55,103,77,98,55,98,1
CHIJ (Kellock),2011,27,135,71,115,27,115,1
CHIJ (Toa Payoh),2011,63,60,48,50,48,50,1
CHIJ Our Lady Queen of Peace,2011,50,92,62,74,49,74,1
CHIJ Our Lady of Good Counsel,2011,35,60,45,57,35,57,1
CHIJ Our Lady of the Nativity,2011,51,127,79,109,51,109,1
CHIJ St. Nicholas Girls’,2011,40,57,26,26,27,26,1
Canberra,2011,31,158,51,71,31,71,1
Canossa Catholic,2011,4,30,45,85,4,30,0
Cantonment,2011,0,96,95,189,0,96,0
Casuarina,2011,0,55,48,96,0,55,0
Catholic High,2011,44,61,26,25,26,25,1
Cedar,2011,3,58,33,65,3,58,0
Changkat,2011,3,82,58,113,3,82,0
Chongfu,2011,91,104,68,67,68,67,1
Chongzheng,2011,11,108,36,62,11,62,1
Chua Chu Kang,2011,2,138,67,131,2,131,1
Clementi,2011,7,138,72,138,7,138,0
Compassvale,2011,35,134,78,121,34,121,1
Concord,2011,1,87,58,115,1,87,0
Corporation,2011,26,84,86,151,23,84,0
Damai,2011,0,16,73,145,0,16,0
Dazhong,2011,1,29,64,128,1,29,0
De La Salle,2011,54,109,67,82,53,82,1
East Spring,2011,5,93,47,90,5,90,1
Edgefield,2011,10,152,64,120,10,120,1
Elias Park,2011,0,97,47,93,0,93,1
Endeavour,2011,22,153,50,77,22,77,1
Eunos,2011,1,36,79,157,1,36,0
Evergreen,2011,24,160,55,85,24,85,1
Fairfield Methodist,2011,66,56,48,49,48,49,1
Farrer Park,2011,2,18,79,156,2,18,0
Fengshan,2011,2,113,39,76,2,76,1
Fernvale,2011,1,147,90,180,1,147,0
First Toa Payoh,2011,0,19,86,171,0,19,0
Frontier,2011,5,278,120,235,5,235,1
Fuchun,2011,5,130,66,126,5,126,1
Fuhua,2011,0,67,76,153,0,66,0
Gan Eng Seng,2011,2,100,70,140,2,100,0
Geylang Methodist,2011,8,132,66,125,8,125,1
Gongshang,2011,46,97,55,63,46,63,1
Greendale,2011,0,70,87,173,0,69,0
Greenridge,2011,7,160,67,128,7,128,1
