school,total_years_observed,years_with_balloting,ballot_frequency,avg_phase2c_demand,avg_phase2c_demand_capped,avg_phase2c_demand_norm,ballot_frequency_norm,demand_index
Seng Kang,17,0,0,0.34406192144031167,0.34406192144031167,0.068485468,0,4.793982761
North Spring,17,0,0,0.3435434440365701,0.3435434440365701,0.068326211,0,4.782834785
Boon Lay Garden,17,0,0,0.3359455959004305,0.3359455959004305,0.065992437,0,4.619470624
Montfort Junior,17,0,0,0.3124094918269546,0.3124094918269546,0.05876303,0,4.11341209
Xinghua,17,0,0,0.3118754661248801,0.3118754661248801,0.058598997,0,4.101929804
Yio Chu Kang,17,0,0,0.3105711407008494,0.3105711407008494,0.058198357,0,4.073885018
Meridian,17,0,0,0.30958690315350146,0.30958690315350146,0.057896037,0,4.05272256
Stamford,12,0,0,0.3045468835652627,0.3045468835652627,0.056347932,0,3.944355223
Lianhua,17,0,0,0.2893957124646376,0.2893957124646376,0.051694061,0,3.618584253
Yuhua,17,0,0,0.2803111555463692,0.2803111555463692,0.048903626,0,3.423253813
Eunos,12,0,0,0.2751228351185042,0.2751228351185042,0.047309969,0,3.311697805
Si Ling,17,0,0,0.261108455,0.261108455,0.043005277,0,3.010369401
Farrer Park,17,0,0,0.24755375685821382,0.24755375685821382,0.038841783,0,2.718924791
Zhonghua,17,0,0,0.22745425637762479,0.22745425637762479,0.032667971,0,2.286757949
Damai,16,0,0,0.22088424305176976,0.22088424305176976,0.030649909,0,2.145493647
Northoaks,13,0,0,0.20996021269327697,0.20996021269327697,0.027294457,0,1.910612004
Guangyang,12,0,0,0.1892449315827408,0.1892449315827408,0.0209315,0,1.465205034
Teck Whye,17,0,0,0.1790948788349075,0.1790948788349075,0.017813785,0,1.246964972
Kranji,15,0,0,0.17021380499698496,0.17021380499698496,0.015085853,0,1.056009698
Blangah Rise,17,0,0,0.16306515011603903,0.16306515011603903,0.012890054,0,0.902303808
First Toa Payoh,17,0,0,0.13993372765054085,0.13993372765054085,0.00578495,0,0.404946484
Juying,12,0,0,0.12110020951766827,0.12110020951766827,0,0,0
